model,iter,Metric,Precision,Recall,F1,Value,Model,Accuracy,AUC,Precision_1,Recall_1,F1_1
gru,iter9,Recall_1,0.7153167602245389,,,,,,,,,
gru,iter9,F1_1,0.749265014699706,,,,,,,,,
clinicalbert_transformer,iter10,Accuracy,0.7484177215189873,,,,,,,,,
clinicalbert_transformer,iter10,MacroAUC,0.830461940551185,,,,,,,,,
clinicalbert_transformer,iter10,Precision_1,0.8363431151241535,,,,,,,,,
clinicalbert_transformer,iter10,Recall_1,0.6905871388630009,,,,,,,,,
clinicalbert_transformer,iter10,F1_1,0.7565084226646248,,,,,,,,,
gru,iter10,Accuracy,0.7494941319303926,,,,,,,,,
gru,iter10,AUC,0.8267796961072587,,,,,,,,,
gru,iter10,Precision_1,0.7973484848484849,,,,,,,,,
gru,iter10,Recall_1,0.6752205292702486,,,,,,,,,
gru,iter10,F1_1,0.7312201476335215,,,,,,,,,
lstm,iter10,Accuracy,0.7458518818292189,,,,,,,,,
lstm,iter10,AUC,0.8326689938204632,,,,,,,,,
lstm,iter10,Precision_1,0.7900656044985942,,,,,,,,,
lstm,iter10,Recall_1,0.6760224538893344,,,,,,,,,
lstm,iter10,F1_1,0.7286084701815039,,,,,,,,,
transformer,iter10,Accuracy,0.7426143261837312,,,,,,,,,
transformer,iter10,AUC,0.8274106220943336,,,,,,,,,
transformer,iter10,Precision_1,0.7604433077578857,,,,,,,,,
transformer,iter10,Recall_1,0.7153167602245389,,,,,,,,,
transformer,iter10,F1_1,0.7371900826446282,,,,,,,,,
tabular,iter10,,,RandomForest,0.7446,0.8286,0.7588,0.7241,0.7411,,,
tabular,iter10,,,XGBoost,0.7321,0.8193,0.7524,0.6993,0.7249,,,
tfidf,iter10,0,,,,,,,,0.6104014598540146,0.8128797083839611,0.6972381448671183
tfidf,iter10,1,,,,,,,,0.8075,0.6020503261882573,0.6898024559530166
tfidf,iter10,Accuracy,,,,,,,,0.6935654008438819,,
tfidf,iter10,ROC_AUC,,,,,,,,0.7615779562190925,,
clinicalbert_transformer,iter11,Accuracy,0.7445141065830722,,,,,,,,,
clinicalbert_transformer,iter11,MacroAUC,0.8333553119317193,,,,,,,,,
clinicalbert_transformer,iter11,Precision_1,0.830316742081448,,,,,,,,,
clinicalbert_transformer,iter11,Recall_1,0.6840633737185461,,,,,,,,,
clinicalbert_transformer,iter11,F1_1,0.7501277465508431,,,,,,,,,
gru,iter11,Accuracy,0.75475515985431,,,,,,,,,
gru,iter11,AUC,0.8385261883422174,,,,,,,,,
gru,iter11,Precision_1,0.7808939526730938,,,,,,,,,
gru,iter11,Recall_1,0.714514835605453,,,,,,,,,
gru,iter11,F1_1,0.7462311557788944,,,,,,,,,
transformer,iter11,Accuracy,0.7401861594496155,,,,,,,,,
transformer,iter11,AUC,0.8278574461059485,,,,,,,,,
transformer,iter11,Precision_1,0.7922705314009661,,,,,,,,,
transformer,iter11,Recall_1,0.6575781876503609,,,,,,,,,
transformer,iter11,F1_1,0.7186678352322524,,,,,,,,,
lstm,iter11,Accuracy,0.7531363820315662,,,,,,,,,
lstm,iter11,AUC,0.8375578512613278,,,,,,,,,
lstm,iter11,Precision_1,0.8030447193149381,,,,,,,,,
lstm,iter11,Recall_1,0.6768243785084203,,,,,,,,,
lstm,iter11,F1_1,0.7345517841601392,,,,,,,,,
tabular,iter11,,,RandomForest,0.7483,0.8384,0.7633,0.7265,0.7445,,,
tabular,iter11,,,XGBoost,0.7276,0.8209,0.7184,0.757,0.7372,,,
tfidf,iter11,0,,,,,,,,0.6125,0.8739595719381689,0.720235178833905
tfidf,iter11,1,,,,,,,,0.8515406162464986,0.5666356011183598,0.6804700615556799
tfidf,iter11,Accuracy,,,,,,,,0.7016718913270638,,
tfidf,iter11,ROC_AUC,,,,,,,,0.7728689163147321,,
transformer,iter12,Accuracy,0.73573452043707,,,,,,,,,
transformer,iter12,AUC,0.8239965459586668,,,,,,,,,
transformer,iter12,Precision_1,0.751269035532995,,,,,,,,,
transformer,iter12,Recall_1,0.7121090617481957,,,,,,,,,
transformer,iter12,F1_1,0.7311650885137917,,,,,,,,,
tabular,iter12,,,RandomForest,0.745,0.8315,0.7556,0.7314,0.7433,,,
tabular,iter12,,,XGBoost,0.7463,0.8297,0.757,0.7322,0.7444,,,
tfidf,iter12,0,,,,,,,,0.6196150320806599,0.8028503562945368,0.6994309363683394
tfidf,iter12,1,,,,,,,,0.7992744860943168,0.6143122676579925,0.6946925906463479
tfidf,iter12,Accuracy,,,,,,,,0.6970802919708029,,
tfidf,iter12,ROC_AUC,,,,,,,,0.7726961165220002,,
