iteration,model,Metric,Value,Model,AUC,Accuracy,Precision,Recall,F1-score,Precision_1,Recall_1,F1_1,F1
iter13,tfidf,0,,,,,0.6102150537634409,0.8254545454545454,,,,,0.7017001545595054
iter13,tfidf,1,,,,,0.8188679245283019,0.5994475138121547,,,,,0.6921850079744817
iter13,tfidf,Accuracy,,,,,0.6970172684458399,,,,,,
iter13,tfidf,ROC_AUC,,,,,0.7741107204643116,,,,,,
iter13,transformer,Accuracy,0.7312828814245245,,,,,,,,,,
iter13,transformer,AUC,0.8185678307676987,,,,,,,,,,
iter13,transformer,Precision_1,0.7510766580534023,,,,,,,,,,
iter13,transformer,Recall_1,0.6992782678428228,,,,,,,,,,
iter13,transformer,F1_1,0.7242524916943521,,,,,,,,,,
iter14,clinicalbert_transformer,Accuracy,0.7445255474452555,,,,,,,,,,
iter14,clinicalbert_transformer,MacroAUC,0.8269629606700334,,,,,,,,,,
iter14,clinicalbert_transformer,Precision_1,0.8238512035010941,,,,,,,,,,
iter14,clinicalbert_transformer,Recall_1,0.6959334565619224,,,,,,,,,,
iter14,clinicalbert_transformer,F1_1,0.7545090180360722,,,,,,,,,,
iter14,gru,Accuracy,0.7409955483609875,,,,,,,,,,
iter14,gru,AUC,0.8288041626701469,,,,,,,,,,
iter14,gru,Precision_1,0.7887725975261656,,,,,,,,,,
iter14,gru,Recall_1,0.6647955092221332,,,,,,,,,,
iter14,gru,F1_1,0.721496953872933,,,,,,,,,,
iter14,lstm,Accuracy,0.7422096317280453,,,,,,,,,,
iter14,lstm,AUC,0.8259057030992029,,,,,,,,,,
iter14,lstm,Precision_1,0.801980198019802,,,,,,,,,,
iter14,lstm,Recall_1,0.6495589414595028,,,,,,,,,,
iter14,lstm,F1_1,0.717766947275144,,,,,,,,,,
iter14,tabular,,,RandomForest,0.8309,0.7471,,,,0.76,0.7289,0.7442,
iter14,tabular,,,XGBoost,0.8262,0.745,,,,0.7569,0.7289,0.7426,
iter14,tfidf,0,,,,,0.6087344028520499,0.8169856459330144,,,,,0.6976506639427987
iter14,tfidf,1,,,,,0.8077889447236181,0.5942698706099815,,,,,0.6847710330138446
iter14,tfidf,Accuracy,,,,,0.6913451511991658,,,,,,
iter14,tfidf,ROC_AUC,,,,,0.7709761296199665,,,,,,
iter14,transformer,Accuracy,0.7434237150951032,,,,,,,,,,
iter14,transformer,AUC,0.8255309474765582,,,,,,,,,,
iter14,transformer,Precision_1,0.7621899059024807,,,,,,,,,,
iter14,transformer,Recall_1,0.714514835605453,,,,,,,,,,
iter14,transformer,F1_1,0.7375827814569537,,,,,,,,,,
iter15,clinicalbert_transformer,Accuracy,0.7441619097042034,,,,,,,,,,
iter15,clinicalbert_transformer,MacroAUC,0.8353984916317305,,,,,,,,,,
iter15,clinicalbert_transformer,Precision_1,0.827433628318584,,,,,,,,,,
iter15,clinicalbert_transformer,Recall_1,0.6894009216589861,,,,,,,,,,
iter15,clinicalbert_transformer,F1_1,0.7521367521367521,,,,,,,,,,
iter15,gru,Accuracy,0.7442331040064751,,,,,,,,,,
iter15,gru,AUC,0.833433573910719,,,,,,,,,,
iter15,gru,Precision_1,0.7695004382120947,,,,,,,,,,
iter15,gru,Recall_1,0.7040898155573376,,,,,,,,,,
iter15,gru,F1_1,0.7353433835845896,,,,,,,,,,
iter15,lstm,Accuracy,0.7426143261837312,,,,,,,,,,
iter15,lstm,AUC,0.8360660356096461,,,,,,,,,,
iter15,lstm,Precision_1,0.7980487804878049,,,,,,,,,,
iter15,lstm,Recall_1,0.6559743384121892,,,,,,,,,,
iter15,lstm,F1_1,0.7200704225352113,,,,,,,,,,
iter15,tabular,,,RandomForest,0.8364,0.7491,,,,0.7597,0.7354,0.7474,
iter15,tabular,,,XGBoost,0.8237,0.7353,,,,0.7436,0.7257,0.7346,
iter15,tfidf,0,,,,,0.6155866900175131,0.834916864608076,,,,,0.7086693548387096
iter15,tfidf,1,,,,,0.8229299363057325,0.5953917050691244,,,,,0.6909090909090909
iter15,tfidf,Accuracy,,,,,0.7000518941359626,,,,,,
iter15,tfidf,ROC_AUC,,,,,0.7810304629092462,,,,,,
iter15,transformer,Accuracy,0.7324969647915823,,,,,,,,,,
iter15,transformer,AUC,0.8321422394138088,,,,,,,,,,
iter15,transformer,Precision_1,0.8547215496368039,,,,,,,,,,
iter15,transformer,Recall_1,0.566158781074579,,,,,,,,,,
iter15,transformer,F1_1,0.6811384466956102,,,,,,,,,,
iter16,clinicalbert_transformer,Accuracy,0.7494813278008299,,,,,,,,,,
iter16,clinicalbert_transformer,MacroAUC,0.8347721084873553,,,,,,,,,,
iter16,clinicalbert_transformer,Precision_1,0.8283499446290143,,,,,,,,,,
iter16,clinicalbert_transformer,Recall_1,0.6951672862453532,,,,,,,,,,
iter16,clinicalbert_transformer,F1_1,0.7559373420919656,,,,,,,,,,
iter16,gru,Accuracy,0.7478753541076487,,,,,,,,,,
iter16,gru,AUC,0.8333339885005057,,,,,,,,,,
iter16,gru,Precision_1,0.7937853107344632,,,,,,,,,,
iter16,gru,Recall_1,0.6760224538893344,,,,,,,,,,
iter16,gru,F1_1,0.7301862278042442,,,,,,,,,,
iter16,lstm,Accuracy,0.7575880210441117,,,,,,,,,,
iter16,lstm,AUC,0.8372931637236557,,,,,,,,,,
iter16,lstm,Precision_1,0.7967032967032966,,,,,,,,,,
iter16,lstm,Recall_1,0.6976744186046512,,,,,,,,,,
iter16,lstm,F1_1,0.7439076528430953,,,,,,,,,,
iter16,tabular,,,RandomForest,0.8358,0.7515,,,,0.7721,0.7201,0.7452,
iter16,tabular,,,XGBoost,0.8232,0.7382,,,,0.7582,0.7065,0.7314,
iter16,tfidf,0,,,,,0.6094827586206897,0.82981220657277,,,,,0.7027833001988072
iter16,tfidf,1,,,,,0.8111979166666666,0.578996282527881,,,,,0.675704989154013
iter16,tfidf,Accuracy,,,,,0.6898340248962656,,,,,,
iter16,tfidf,ROC_AUC,,,,,0.7716999799291412,,,,,,
iter16,transformer,Accuracy,0.7385673816268717,,,,,,,,,,
iter16,transformer,AUC,0.8272992436750162,,,,,,,,,,
iter16,transformer,Precision_1,0.8133472367049009,,,,,,,,,,
iter16,transformer,Recall_1,0.6255012028869287,,,,,,,,,,
iter16,transformer,F1_1,0.7071622846781505,,,,,,,,,,
iter17,clinicalbert_transformer,Accuracy,0.7461902259590121,,,,,,,,,,
iter17,clinicalbert_transformer,MacroAUC,0.8279954147065883,,,,,,,,,,
iter17,clinicalbert_transformer,Precision_1,0.8337129840546698,,,,,,,,,,
iter17,clinicalbert_transformer,Recall_1,0.6847521047708138,,,,,,,,,,
iter17,clinicalbert_transformer,F1_1,0.7519260400616333,,,,,,,,,,
iter17,gru,Accuracy,0.7466612707405909,,,,,,,,,,
iter17,gru,AUC,0.8328314752792321,,,,,,,,,,
iter17,gru,Precision_1,0.7872340425531915,,,,,,,,,,
iter17,gru,Recall_1,0.6824378508420208,,,,,,,,,,
iter17,gru,F1_1,0.7310996563573883,,,,,,,,,,
iter17,lstm,Accuracy,0.745447187373533,,,,,,,,,,
iter17,lstm,AUC,0.8325255122096955,,,,,,,,,,
iter17,lstm,Precision_1,0.760539629005059,,,,,,,,,,
iter17,lstm,Recall_1,0.723336006415397,,,,,,,,,,
iter17,lstm,F1_1,0.7414714344430744,,,,,,,,,,
iter17,tabular,,,RandomForest,0.8245,0.739,,,,0.7551,0.7145,0.7342,
iter17,tabular,,,XGBoost,0.8281,0.7426,,,,0.7548,0.7257,0.74,
iter17,tfidf,0,,,,,0.6095406360424028,0.8273381294964028,,,,,0.7019328585961343
iter17,tfidf,1,,,,,0.8132295719844358,0.5865294667913938,,,,,0.6815217391304348
iter17,tfidf,Accuracy,,,,,0.6920651602732527,,,,,,
iter17,tfidf,ROC_AUC,,,,,0.7760188481581433,,,,,,
iter17,transformer,Accuracy,0.7409955483609875,,,,,,,,,,
iter17,transformer,AUC,0.8193225833503677,,,,,,,,,,
iter17,transformer,Precision_1,0.7751586582048957,,,,,,,,,,
iter17,transformer,Recall_1,0.6856455493183641,,,,,,,,,,
iter17,transformer,F1_1,0.7276595744680852,,,,,,,,,,
iter18,clinicalbert_transformer,Accuracy,0.7437106918238994,,,,,,,,,,
iter18,clinicalbert_transformer,MacroAUC,0.8361145027811695,,,,,,,,,,
iter18,clinicalbert_transformer,Precision_1,0.8325942350332595,,,,,,,,,,
iter18,clinicalbert_transformer,Recall_1,0.689623507805326,,,,,,,,,,
iter18,clinicalbert_transformer,F1_1,0.754394776494224,,,,,,,,,,
iter18,gru,Accuracy,0.7608255766895994,,,,,,,,,,
iter18,gru,AUC,0.843143151406513,,,,,,,,,,
iter18,gru,Precision_1,0.8111954459203036,,,,,,,,,,
