iteration,model,class,precision,recall,f1-score
iter26,tfidf,0,0.81938326,0.671480144,0.738095238
iter26,transformer,0,0.624952598,1,0.769194866
iter27,clinicalbert_transformer,0,0.7364,0.4857,0.5853
iter27,gru,0,0.740384615,0.654126214,0.694587629
iter27,lstm,0,0.672716628,0.697208738,0.684743743
iter27,tabular_rf,0,0.683347714,0.674904133,0.679099678
iter27,tabular_xgb,0,0.765517241,0.094588837,0.168373151
iter27,tfidf,0,0.814782609,0.686446886,0.745129225
iter27,transformer,0,0.624952598,1,0.769194866
iter28,clinicalbert_transformer,0,0.6561,0.7311,0.6916
iter28,gru,0,0.716919026,0.660800971,0.687717082
iter28,lstm,0,0.773291925,0.151092233,0.252791878
iter28,tabular_rf,0,0.70621205,0.639864579,0.671403197
iter28,tabular_xgb,0,0.798245614,0.038510368,0.073475979
iter28,tfidf,0,0.81300813,0.660308144,0.728744939
iter28,transformer,0,0.740740741,0.169902913,0.276406713
iter29,clinicalbert_transformer,0,0.6344,0.6521,0.6431
iter29,gru,0,0.795535714,0.54065534,0.643786127
iter29,lstm,0,0.655193237,0.658373786,0.656779661
iter29,tabular_rf,0,0.688733553,0.667596652,0.678000405
iter29,tabular_xgb,0,0.774509804,0.031486648,0.060513213
iter29,tfidf,0,0.818890815,0.692307692,0.750297737
iter29,transformer,0,0.747252747,0.165048544,0.270377734
iter3,clinicalbert_transformer,0,0.7296,0.4816,0.5802
iter3,gru,0,0.743984601,0.469053398,0.575362858
iter3,lstm,0,0.664652568,0.667475728,0.666061157
iter3,tabular_rf,0,0.689757546,0.590677966,0.636384387
iter3,tabular_xgb,0,0.613207547,0.027542373,0.052716951
iter3,tfidf,0,0.821650399,0.684911243,0.747075434
iter3,transformer,0,0.712082262,0.168082524,0.271968581
iter30,clinicalbert_transformer,0,0.6355,0.7846,0.7022
iter30,gru,0,0.677477477,0.45631068,0.545322698
iter30,lstm,0,0.657894737,0.606796117,0.631313131
iter30,tabular_rf,0,0.690319549,0.614387286,0.650143837
iter30,tabular_xgb,0,0.875,0.038059389,0.072945892
iter30,tfidf,0,0.822852081,0.68158474,0.745585875
iter30,transformer,0,0.625713199,0.998179612,0.769230769
iter4,clinicalbert_transformer,0,0.6429,0.7637,0.6981
iter4,gru,0,0.714285714,0.294296117,0.416845724
iter4,lstm,0,0.688811189,0.597694175,0.640025991
iter4,tabular_rf,0,0.668593449,0.582214765,0.622421525
iter4,tabular_xgb,0,0.729166667,0.029362416,0.056451613
iter4,tfidf,0,0.800170794,0.681454545,0.736056559
iter4,transformer,0,0.624952598,1,0.769194866
iter5,clinicalbert_transformer,0,0.7032,0.5789,0.635
iter5,gru,0,0.669606513,0.598907767,0.632286996
iter5,lstm,0,0.664267016,0.615898058,0.639168766
iter5,tabular_rf,0,0.672436175,0.643478261,0.657638595
iter5,tabular_xgb,0,0.773049645,0.045134576,0.085289515
iter5,tfidf,0,0.817621145,0.686390533,0.746280659
iter5,transformer,0,0.708010336,0.166262136,0.269287469
iter6,clinicalbert_transformer,0,0.7299,0.5584,0.6327
iter6,gru,0,0.836601307,0.388349515,0.530460008
iter6,lstm,0,0.661452514,0.718446602,0.688772542
iter6,tabular_rf,0,0.704545455,0.589353612,0.641821946
iter6,tabular_xgb,0,0.698529412,0.040135192,0.075908909
iter6,tfidf,0,0.825067628,0.679287305,0.745114007
iter6,transformer,0,0.729113924,0.174757282,0.281938326
iter7,clinicalbert_transformer,0,0.7439,0.5022,0.5996
iter7,gru,0,0.750965251,0.472087379,0.579731744
iter7,lstm,0,0.685055866,0.59526699,0.637012987
iter7,tabular_rf,0,0.681298583,0.615702479,0.646841763
iter7,tabular_xgb,0,0.759493671,0.024793388,0.048019208
iter7,tfidf,0,0.822321429,0.673245614,0.740353698
iter7,transformer,0,0.701005025,0.169296117,0.272727273
iter8,clinicalbert_transformer,0,0.7191,0.5206,0.604
iter8,gru,0,0.719298246,0.149271845,0.247236181
iter8,lstm,0,0.662337662,0.587985437,0.62295082
iter8,tabular_rf,0,0.701067616,0.568659794,0.627959927
iter8,tabular_xgb,0,0.6875,0.01814433,0.035355564
iter8,tfidf,0,0.837063563,0.678519594,0.749498998
iter8,transformer,0,0.68,0.15473301,0.25210084
iter9,clinicalbert_transformer,0,0.7135,0.4905,0.5813
iter9,gru,0,0.817401961,0.40473301,0.541396104
iter9,lstm,0,0.667279412,0.660800971,0.66402439
iter9,tabular_rf,0,0.679982047,0.647435897,0.663309982
iter9,tabular_xgb,0,0.860606061,0.060683761,0.113373253
iter9,tfidf,0,0.811468288,0.698578908,0.750803859
iter9,transformer,0,0.737864078,0.184466019,0.295145631
iter1,stacker_logisticregression,0,0.7313,0.9041,0.8086
iter10,stacker_logisticregression,0,0.7576,0.9025,0.8237
iter11,stacker_logisticregression,0,0.7311,0.8897,0.8027
iter14,stacker_logisticregression,0,0.7308,0.9182,0.8138
iter15,stacker_logisticregression,0,0.7604,0.8947,0.8221
iter16,stacker_logisticregression,0,0.7554,0.9114,0.8261
iter17,stacker_logisticregression,0,0.7256,0.8686,0.7907
iter19,stacker_logisticregression,0,0.7367,0.8672,0.7966
iter2,stacker_logisticregression,0,0.753,0.9182,0.8275
iter22,stacker_logisticregression,0,0.7435,0.8577,0.7965
iter25,stacker_logisticregression,0,0.7756,0.8769,0.8231
iter26,stacker_logisticregression,0,0.7539,0.8768,0.8107
iter27,stacker_logisticregression,0,0.744,0.9191,0.8224
iter28,stacker_logisticregression,0,0.7312,0.8603,0.7905
iter29,stacker_logisticregression,0,0.738,0.8974,0.8099
iter30,stacker_logisticregression,0,0.7554,0.9004,0.8215
iter5,stacker_logisticregression,0,0.7564,0.8708,0.8096
iter7,stacker_logisticregression,0,0.7609,0.8942,0.8221
iter13,stacker_stackingcv,0,0.7594,0.8934,0.8209
iter18,stacker_stackingcv,0,0.7344,0.8736,0.798
iter20,stacker_stackingcv,0,0.7387,0.9077,0.8146
iter23,stacker_stackingcv,0,0.7484,0.8782,0.8081
iter24,stacker_stackingcv,0,0.738,0.9211,0.8194
iter6,stacker_stackingcv,0,0.7446,0.903,0.8162
iter8,stacker_stackingcv,0,0.7443,0.8285,0.7841
iter9,stacker_stackingcv,0,0.7346,0.8534,0.7896
iter12,stacker_svm,0,0.7319,0.8561,0.7891
iter21,stacker_svm,0,0.7604,0.875,0.8137
iter3,stacker_svm,0,0.7443,0.8519,0.7945
iter4,stacker_svm,0,0.7139,0.8681,0.7835
iter1,clinicalbert_transformer,1,0.3309,0.7303,0.4555
iter1,gru,1,0.355125101,0.623229462,0.452442159
iter1,gru_multiclass,1,0.4039,0.1459,0.2144
iter1,lstm,1,0.357723577,0.249291785,0.293823038
iter1,tabular_rf,1,0.407882676,0.39380531,0.400720396
iter1,tabular_xgb,1,0.311313869,0.754867257,0.440826873
iter1,tfidf,1,0.521854305,0.652317881,0.579838116
iter1,transformer,1,0.254054054,0.133144476,0.17472119
iter10,clinicalbert_transformer,1,0.35,0.6994,0.4665
iter10,gru,1,0.349137931,0.114730878,0.172707889
iter10,lstm,1,0.326295585,0.240793201,0.277098615
iter10,tabular_rf,1,0.390468227,0.425706472,0.407326646
iter10,tabular_xgb,1,0.304159914,0.513217867,0.381953867
iter10,tfidf,1,0.551104972,0.643548387,0.59375
iter10,transformer,1,0,0,0
iter11,clinicalbert_transformer,1,0.336,0.7281,0.4598
iter11,gru,1,0.321596244,0.582152975,0.414314516
iter11,lstm,1,0.333333333,0.230878187,0.272803347
iter11,tabular_rf,1,0.388981636,0.417188899,0.402591793
iter11,tabular_xgb,1,0.281553398,0.882721576,0.426932236
iter11,tfidf,1,0.565217391,0.685303514,0.619494585
iter11,transformer,1,0.27260755,0.879603399,0.416219839
iter12,clinicalbert_transformer,1,0.3515,0.3471,0.3493
iter12,gru,1,0.425851703,0.601983003,0.498826291
iter12,lstm,1,0.350806452,0.123229462,0.182389937
iter12,tabular_rf,1,0.388753056,0.412987013,0.400503778
iter12,tabular_xgb,1,0.307860262,0.854545455,0.452648475
iter12,tfidf,1,0.523153942,0.67094703,0.58790436
iter12,transformer,1,0,0,0
iter13,clinicalbert_transformer,1,0.3627,0.2233,0.2764
iter13,gru,1,0.380090498,0.23796034,0.292682927
iter13,lstm,1,0.4075,0.230878187,0.294755877
iter13,tabular_rf,1,0.412201154,0.429553265,0.420698359
iter13,tabular_xgb,1,0.306672559,0.596219931,0.405018967
iter13,tfidf,1,0.514905149,0.634390651,0.568436799
iter13,transformer,1,0.279187817,0.155807365,0.2
iter14,clinicalbert_transformer,1,0.3705,0.6016,0.4586
iter14,gru,1,0.399380805,0.182719547,0.250728863
iter14,lstm,1,0.416905444,0.412181303,0.414529915
iter14,tabular_rf,1,0.392857143,0.41509434,0.403669725
iter14,tabular_xgb,1,0.299827883,0.746998285,0.427904692
iter14,tfidf,1,0.565826331,0.639240506,0.600297177
iter14,transformer,1,0,0,0
iter15,clinicalbert_transformer,1,0.3562,0.7091,0.4742
iter15,gru,1,0.47943038,0.42917847,0.452914798
iter15,lstm,1,0.321243523,0.351274788,0.335588633
iter15,tabular_rf,1,0.384310618,0.422106179,0.402322688
iter15,tabular_xgb,1,0.297069051,0.520452567,0.378241619
iter15,tfidf,1,0.527486911,0.655284553,0.584481508
iter15,transformer,1,0,0,0
iter16,clinicalbert_transformer,1,0.3814,0.3594,0.3701
iter16,gru,1,0.340707965,0.327195467,0.333815029
iter16,lstm,1,0.431761787,0.246458924,0.313796213
iter16,tabular_rf,1,0.39009009,0.382171227,0.386090058
iter16,tabular_xgb,1,0.382608696,0.349514563,0.365313653
iter16,tfidf,1,0.54558011,0.648604269,0.592648162
iter16,transformer,1,0,0,0
iter17,clinicalbert_transformer,1,0.3614,0.7468,0.4871
iter17,gru,1,0.415896488,0.637393768,0.503355705
iter17,lstm,1,0.315789474,0.161473088,0.213683224
iter17,tabular_rf,1,0.383711167,0.402643172,0.392949269
iter17,tabular_xgb,1,0.305959806,0.777973568,0.43919423
