tag,elapsed_hr,gpu_hrs,cpu_pct,disk_used_gb
clinicalbert_transformer,0.013,0.013,8.1,28.2
tfidf_logreg_notes_iter14,0.000,0.000,12.1,28.2
tabular_rf_xgb_iter14,0.001,0.000,6.9,28.2
gru_binary_iter14,0.004,0.004,16.9,28.2
lstm_binary_iter14,0.008,0.008,13.6,28.2
transformer_iter14,0.009,0.009,12.0,28.2
clinicalbert_transformer,0.014,0.014,8.2,28.2
tfidf_logreg_notes_iter15,0.000,0.000,11.8,28.2
tabular_rf_xgb_iter15,0.001,0.000,7.2,28.2
gru_binary_iter15,0.003,0.003,17.0,28.2
lstm_binary_iter15,0.006,0.006,14.0,28.2
transformer_iter15,0.006,0.006,14.3,28.2
clinicalbert_transformer,0.014,0.014,8.4,28.2
tfidf_logreg_notes_iter16,0.000,0.000,11.5,28.2
tabular_rf_xgb_iter16,0.001,0.000,6.9,28.2
gru_binary_iter16,0.007,0.007,16.9,28.2
transformer_iter16,0.010,0.010,15.4,28.2
lstm_binary_iter16,0.010,0.010,15.4,28.2
clinicalbert_transformer,0.015,0.015,8.4,28.2
tfidf_logreg_notes_iter17,0.000,0.000,13.3,28.2
tabular_rf_xgb_iter17,0.001,0.000,7.5,28.2
gru_binary_iter17,0.006,0.006,16.7,28.2
lstm_binary_iter17,0.007,0.007,15.6,28.2
transformer_iter17,0.009,0.009,14.1,28.2
clinicalbert_transformer,0.014,0.014,8.5,28.2
tfidf_logreg_notes_iter18,0.000,0.000,11.9,28.2
tabular_rf_xgb_iter18,0.002,0.000,7.5,28.2
gru_binary_iter18,0.005,0.005,17.0,28.2
lstm_binary_iter18,0.008,0.008,14.0,28.2
transformer_iter18,0.016,0.016,9.9,28.2
clinicalbert_transformer,0.015,0.015,8.5,28.2
tfidf_logreg_notes_iter19,0.000,0.000,12.7,28.2
tabular_rf_xgb_iter19,0.001,0.000,7.7,28.2
gru_binary_iter19,0.005,0.005,16.7,28.2
transformer_iter19,0.007,0.007,15.1,28.2
lstm_binary_iter19,0.010,0.010,12.0,28.2
clinicalbert_transformer,0.013,0.013,8.6,28.2
tfidf_logreg_notes_iter20,0.000,0.000,12.0,28.2
tabular_rf_xgb_iter20,0.001,0.000,7.2,28.2
transformer_iter20,0.004,0.004,17.3,28.2
gru_binary_iter20,0.004,0.004,17.3,28.2
lstm_binary_iter20,0.006,0.006,13.0,28.2
clinicalbert_transformer,0.014,0.014,8.3,28.2
tfidf_logreg_notes_iter21,0.000,0.000,11.9,28.2
tabular_rf_xgb_iter21,0.001,0.000,7.3,28.2
gru_binary_iter21,0.003,0.003,16.7,28.2
transformer_iter21,0.005,0.005,15.3,28.2
lstm_binary_iter21,0.009,0.009,11.1,28.2
clinicalbert_transformer,0.013,0.013,8.0,28.2
tfidf_logreg_notes_iter22,0.000,0.000,11.7,28.2
tabular_rf_xgb_iter22,0.001,0.000,6.4,28.2
gru_binary_iter22,0.003,0.003,16.5,28.2
lstm_binary_iter22,0.007,0.007,12.7,28.2
transformer_iter22,0.007,0.007,12.6,28.2
clinicalbert_transformer,0.014,0.014,7.8,28.2
tfidf_logreg_notes_iter23,0.000,0.000,11.4,28.2
tabular_rf_xgb_iter23,0.001,0.000,6.5,28.2
gru_binary_iter23,0.005,0.005,16.7,28.2
transformer_iter23,0.006,0.006,16.5,28.2
lstm_binary_iter23,0.008,0.008,13.6,28.2
clinicalbert_transformer,0.014,0.014,8.4,28.2
tfidf_logreg_notes_iter24,0.000,0.000,12.2,28.2
tabular_rf_xgb_iter24,0.001,0.000,7.2,28.2
gru_binary_iter24,0.003,0.003,16.7,28.2
lstm_binary_iter24,0.007,0.007,13.2,28.2
transformer_iter24,0.010,0.010,10.8,28.2
clinicalbert_transformer,0.014,0.014,8.3,28.2
tfidf_logreg_notes_iter25,0.000,0.000,12.1,28.2
tabular_rf_xgb_iter25,0.001,0.000,7.2,28.2
gru_binary_iter25,0.004,0.004,16.4,28.2
lstm_binary_iter25,0.005,0.005,16.1,28.2
transformer_iter25,0.013,0.013,9.3,28.2
clinicalbert_transformer,0.014,0.014,8.4,28.2
tfidf_logreg_notes_iter26,0.000,0.000,12.3,28.2
tabular_rf_xgb_iter26,0.001,0.000,6.8,28.2
lstm_binary_iter26,0.007,0.007,17.2,28.2
gru_binary_iter26,0.007,0.007,17.2,28.2
transformer_iter26,0.010,0.010,14.6,28.2
clinicalbert_transformer,0.014,0.014,8.6,28.2
tfidf_logreg_notes_iter27,0.000,0.000,12.3,28.2
tabular_rf_xgb_iter27,0.001,0.000,7.5,28.2
lstm_binary_iter27,0.004,0.004,16.2,28.2
gru_binary_iter27,0.005,0.005,16.0,28.2
transformer_iter27,0.005,0.005,16.0,28.2
clinicalbert_transformer,0.014,0.014,8.6,28.2
tfidf_logreg_notes_iter28,0.000,0.000,13.1,28.2
tabular_rf_xgb_iter28,0.001,0.000,7.6,28.2
gru_binary_iter28,0.008,0.008,16.9,28.2
transformer_iter28,0.008,0.008,16.9,28.2
lstm_binary_iter28,0.008,0.008,16.8,28.2
clinicalbert_transformer,0.014,0.014,8.5,28.2
tfidf_logreg_notes_iter29,0.000,0.000,12.7,28.2
tabular_rf_xgb_iter29,0.001,0.000,7.6,28.2
lstm_binary_iter29,0.009,0.009,17.1,28.2
gru_binary_iter29,0.009,0.009,17.0,28.2
transformer_iter29,0.016,0.016,12.0,28.2
clinicalbert_transformer,0.015,0.015,8.5,28.2
tfidf_logreg_notes_iter30,0.000,0.000,12.4,28.2
tabular_rf_xgb_iter30,0.001,0.000,7.0,28.2
gru_binary_iter30,0.002,0.002,15.9,28.2
lstm_binary_iter30,0.005,0.005,12.9,28.2
transformer_iter30,0.006,0.006,12.2,28.2
clinicalbert_transformer,0.013,0.013,8.3,28.2
